Date,Open,High,Low,Close,Volume
2007-01-03,107.14105043981408,107.60049582583865,105.8756994379554,106.47824096679688,94807600
2007-01-04,106.37278839944551,106.9904083684597,105.90581529596608,106.70419311523438,69620600
2007-01-05,106.4481059543882,106.50082316022063,105.7325793535769,105.85308074951172,76645300
2007-01-08,106.06400582863117,106.50838426753315,105.63468288434879,106.34268188476562,71655000
2007-01-09,106.4330313869647,106.65146241872068,105.74762731078546,106.25227355957031,75680100
2007-01-10,105.88323821756066,106.62889895240231,105.67234636194277,106.60629272460938,72428000
2007-01-11,106.63641442711081,107.41972530172012,106.57615797633427,107.0732650756836,54476800
2007-01-12,107.06571945446727,107.88670349121094,107.03559697724594,107.88670349121094,55370600
2007-01-16,107.7586858517326,108.03736192329615,107.50259302334878,107.67583465576172,44871300
2007-01-17,107.59298289242591,108.05242834170622,107.50259245646049,107.72102355957031,50241400
2007-01-18,107.83401722505403,107.90180144503312,107.1862745288449,107.35950469970703,68177300
2007-01-19,107.35947020840027,107.78126536916923,107.29922524960485,107.57037353515625,56973000
2007-01-22,107.75870806134326,107.78130280192451,106.9000619482677,107.23900604248047,60253600
2007-01-23,107.14860011192789,107.76622024593783,106.9979646988935,107.55532836914062,54064400
2007-01-24,107.68335678671819,108.4440730062302,107.63816731722655,108.42147827148438,55834700
2007-01-25,108.35368083451002,108.39887029848288,106.9602777340529,107.14857482910156,73583800
2007-01-26,107.38208683706748,107.44233180169944,106.63642610637564,107.0506820678711,67255600
2007-01-29,107.09587103659197,107.55531646578362,106.75693852158858,106.99042510986328,66114600
2007-01-30,107.2163819996837,107.60050397733153,106.99795091009945,107.54777526855469,70407600
2007-01-31,107.42728365973935,108.55706645419417,107.25404202314661,108.2708511352539,91868600
2007-02-01,108.57209976253135,108.95623318950234,108.39134190771446,108.91857147216797,69312400
2007-02-02,109.00895741412361,109.17465978686347,108.74534836130533,109.0692138671875,49607000
2007-02-05,108.98635719260747,109.16712654269614,108.71520891384583,109.0993423461914,45705300
2007-02-06,109.1897425457523,109.234932018892,108.70770234435392,109.12948608398438,57081300
2007-02-07,109.30270296300014,109.48347232636469,108.88845851433133,109.37049865722656,55669700
2007-02-08,109.04662473552627,109.30270605464501,108.66250275684816,109.2273941040039,70641000
2007-02-09,109.25750776230399,109.46087184882508,107.99968451001229,108.4139404296875,79084400
2007-02-12,108.41395021573253,108.48926216708966,107.84905886320598,108.04488372802734,65657000
2007-02-13,108.28587782260061,109.13697272926778,108.27833858475343,108.95621490478516,64081800
2007-02-14,109.06168739658753,109.89018777723874,109.04662040995943,109.67176818847656,66039400
2007-02-15,109.71691645752671,109.92780822015786,109.53614716409754,109.81483459472656,38715200
2007-02-16,109.54374163799862,109.78475599136237,109.3855669898967,109.76216125488281,39841800
2007-02-20,109.63409354029946,110.1161336208663,109.21230990639626,109.99562072753906,56911800
2007-02-21,109.67175581264628,110.0182275095349,109.47593097955227,109.95043182373047,63971600
2007-02-22,110.00319466704131,110.28187076462008,109.34038503739917,109.86761474609375,79067400
2007-02-23,109.76965997976471,109.80731019817077,109.2348912640588,109.4382553100586,71966200
2007-02-26,109.83748499697919,109.92786394313775,109.02404000331727,109.34037780761719,69192800
2007-02-27,108.36872359981434,108.6097378513841,104.69316144827019,105.06975555419922,274466500
2007-02-28,105.74012624952807,106.9376931291903,105.29574782138832,106.14684295654297,177536300
2007-03-01,104.94928382626688,106.387876633158,103.97767570886722,105.83051300048828,212828600
2007-03-02,105.48402944262176,105.94347479028492,104.43709810847024,104.44462585449219,162574000
2007-03-05,103.88728630739381,105.13005425219201,103.43538009425828,103.45044708251953,143750400
2007-03-06,104.52744338954946,105.53671268327395,103.72906584398417,105.22037506103516,143333300
2007-03-07,105.13756970896407,105.79285145515986,104.99446206907368,105.11497497558594,115144900
2007-03-08,105.85310676786447,106.32009145308365,105.4991187460734,106.00375366210938,117891600
2007-03-09,106.43304817504563,106.51589935658342,105.50662968529946,106.03385925292969,107765100
2007-03-12,105.76267858101382,106.4556102994733,105.56685379951628,106.19200134277344,80366900
2007-03-13,105.58195946011928,106.02634941401031,103.97013651385102,104.12831115722656,190605200
2007-03-14,104.26387607438028,104.96434733905292,102.99852494080207,104.90409088134766,231853800
2007-03-15,104.67054799027203,105.43880304685327,104.54250739629815,105.0471420288086,132435900
2007-03-16,105.34286806632839,105.58484990486268,104.44301685406388,104.7530517578125,121531600
2007-03-19,105.3050694578879,106.11418334588086,105.22188963331227,106.01587677001953,96161200
2007-03-20,105.92509520282498,106.65858656709378,105.83435780957959,106.59809112548828,82147400
2007-03-21,106.69643186059362,108.62467131508544,106.48470351627037,108.35244750976562,152368700
2007-03-22,108.49609637193043,108.64732921843667,107.97433324390637,108.26924133300781,118942200
2007-03-23,108.3448673808884,108.74563963063838,108.24656083491415,108.42804718017578,74416800
2007-03-26,108.51123311157298,108.62465487231674,107.44502240727108,108.28437805175781,113787500
2007-03-27,108.22386899607342,108.25412248735395,107.67186393262863,108.02726745605469,99864600
2007-03-28,107.482822600433,107.73236198707556,106.81738423605279,107.24085235595703,152907900
2007-03-29,107.78526978769762,107.83820762047051,106.76443960484723,107.35425567626953,139432700
2007-03-30,107.55845473767226,108.01215331488892,106.288073337145,107.37696838378906,128194100
2007-04-02,107.49794006347656,107.7247950806822,106.98373458858875,107.49794006347656,79416400
2007-04-03,108.11048247754927,108.87421607551678,108.0651137641712,108.6549301147461,82417800
2007-04-04,108.65491850885682,108.85152009193864,108.25414619905206,108.77590942382812,63995200
2007-04-05,108.63979783760848,109.22205655244386,108.59442912653834,109.0708236694336,46822800
2007-04-09,109.38084401218025,109.49427732504375,109.00275604596003,109.22205352783203,50967400
2007-04-10,109.13885001606171,109.53206464628293,109.09348131609899,109.35057830810547,56620000
2007-04-11,109.50936943698383,109.53961138785124,108.54145393434571,108.90442657470703,106365700
2007-04-12,108.69269410229937,109.5849758474656,108.39021691369008,109.38837432861328,115534400
2007-04-13,109.5698548519856,109.88745880126952,109.16152504884643,109.88745880126953,84287000
2007-04-16,110.27307734070959,111.05193720235744,110.26551973931439,110.93094635009766,83064600
